# time	cmd_angle	cmd_speed	odom_v	odom_w	R_odom	imu_yaw_rate	R_imu	imu_ax	imu_ay
1779639180.468	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0006	      +inf	 +0.0311	 +3.2378
1779639180.569	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0007	      +inf	 +0.0343	 +3.2470
1779639180.668	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0004	      +inf	 +0.0215	 +3.2349
1779639180.768	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0006	      +inf	 +0.0234	 +3.2373
1779639180.868	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0002	      +inf	 +0.0258	 +3.2361
1779639180.969	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0011	 +4632.418	 +0.0233	 +3.2463
1779639181.069	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0005	      +inf	 +0.0223	 +3.2407
1779639181.168	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0005	      +inf	 +0.0198	 +3.2470
1779639181.269	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0004	      +inf	 +0.0212	 +3.2516
1779639181.368	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0003	      +inf	 +0.0162	 +3.2522
1779639181.469	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0001	      +inf	 +0.0241	 +3.2490
